,workflowId,time0,coldState_groupId,coldState_fixedStartTime
13,wflow_routing_global,03/08/2022 00:00:00,,
14,wflow_routing_global,08/08/2022 00:00:00,,
15,wflow_routing_global,13/08/2022 00:00:00,,
16,wflow_routing_global,18/08/2022 00:00:00,,
17,wflow_routing_global,23/08/2022 00:00:00,,
18,wflow_routing_global,28/08/2022 00:00:00,,
19,wflow_routing_global,02/09/2022 00:00:00,,
20,wflow_routing_global,07/09/2022 00:00:00,,
21,wflow_routing_global,12/09/2022 00:00:00,,
22,wflow_routing_global,17/09/2022 00:00:00,,
